key,species,latitude,longitude,type,date,info
0,Badger,48.60615,4.58455,Animal,06/05/2022,Placeholder Info
1,Fire Salamander,49.83559,7.14465,Animal,06/05/2022,Placeholder Info
2,Woodpecker,49.54252,17.98897,Animal,06/05/2022,Placeholder Info
3,Hare,49.97869,9.88964,Animal,06/05/2022,Placeholder Info
4,Wolf,47.61268,10.07486,Animal,06/05/2022,Placeholder Info
5,Stoat,50.43201,7.8189,Animal,06/05/2022,Placeholder Info
6,Woodpecker,51.02191,7.12789,Animal,06/05/2022,Placeholder Info
7,European Viper,47.34989,15.84095,Animal,06/05/2022,Placeholder Info
8,Fire Ant,47.88537,5.59725,Animal,06/05/2022,Placeholder Info
9,Rabbit,50.55795,6.96103,Animal,06/05/2022,Placeholder Info
10,European Viper,48.58504,13.65369,Animal,06/05/2022,Placeholder Info
11,Ortolan Bunting,50.13271,9.74489,Animal,06/05/2022,Placeholder Info
12,Wolf,48.72246,12.0511,Animal,06/05/2022,Placeholder Info
13,Rabbit,51.67549,8.72601,Animal,06/05/2022,Placeholder Info
14,Fire Salamander,48.39067,11.27929,Animal,06/05/2022,Placeholder Info
15,Fallow Deer,50.25461,10.21722,Animal,06/05/2022,Placeholder Info
16,Rabbit,49.62209,9.3835,Animal,06/05/2022,Placeholder Info
17,Fallow Deer,50.4205,10.7977,Animal,06/05/2022,Placeholder Info
18,Stoat,49.03608,7.29119,Animal,06/05/2022,Placeholder Info
19,European Viper,48.34774,13.89615,Animal,06/05/2022,Placeholder Info
20,Stoat,51.37319,7.71605,Animal,06/05/2022,Placeholder Info
21,Wolf,49.51458,18.15956,Animal,06/05/2022,Placeholder Info
22,European Viper,50.69221,13.30339,Animal,06/05/2022,Placeholder Info
23,Woodpecker,49.76971,15.91305,Animal,06/05/2022,Placeholder Info
24,Rabbit,51.99502,16.44337,Animal,06/05/2022,Placeholder Info
25,Rabbit,48.18565,5.12963,Animal,06/05/2022,Placeholder Info
26,European Viper,48.54019,18.20714,Animal,06/05/2022,Placeholder Info
27,Badger,47.52796,5.09257,Animal,06/05/2022,Placeholder Info
28,Hare,50.83139,17.97859,Animal,06/05/2022,Placeholder Info
29,Hare,47.39653,17.3324,Animal,06/05/2022,Placeholder Info
30,Badger,48.84733,5.16042,Animal,06/05/2022,Placeholder Info
31,Rabbit,48.80972,16.22559,Animal,06/05/2022,Placeholder Info
32,Hare,48.25885,11.08563,Animal,06/05/2022,Placeholder Info
33,Wolf,47.34028,18.05798,Animal,06/05/2022,Placeholder Info
34,European Viper,47.89787,6.8763,Animal,06/05/2022,Placeholder Info
35,Roe Deer,48.5546,11.45252,Animal,06/05/2022,Placeholder Info
36,Ortolan Bunting,47.71505,7.42657,Animal,06/05/2022,Placeholder Info
37,Badger,47.68753,6.93007,Animal,06/05/2022,Placeholder Info
38,Hare,50.08468,5.05995,Animal,06/05/2022,Placeholder Info
39,Fire Salamander,47.3622,9.54055,Animal,06/05/2022,Placeholder Info
40,Fallow Deer,50.72252,12.43238,Animal,06/05/2022,Placeholder Info
41,Rabbit,51.07489,18.11638,Animal,06/05/2022,Placeholder Info
42,Hare,50.80694,7.96206,Animal,06/05/2022,Placeholder Info
43,Fire Salamander,50.91045,6.40081,Animal,06/05/2022,Placeholder Info
44,Fire Salamander,51.09235,10.5558,Animal,06/05/2022,Placeholder Info
45,Roe Deer,47.27957,5.56398,Animal,06/05/2022,Placeholder Info
46,Stoat,51.45691,13.06128,Animal,06/05/2022,Placeholder Info
47,Ortolan Bunting,51.04612,10.26922,Animal,06/05/2022,Placeholder Info
48,Fire Salamander,48.7033,14.45865,Animal,06/05/2022,Placeholder Info
49,Stoat,50.63963,17.06036,Animal,06/05/2022,Placeholder Info
50,Wolf,49.41394,17.40072,Animal,06/05/2022,Placeholder Info
51,Roe Deer,50.78046,10.60107,Animal,06/05/2022,Placeholder Info
52,Woodpecker,47.80402,17.74423,Animal,06/05/2022,Placeholder Info
53,Fire Salamander,50.74213,11.55919,Animal,06/05/2022,Placeholder Info
54,Fallow Deer,47.42685,5.22855,Animal,06/05/2022,Placeholder Info
55,Roe Deer,50.8502,5.37931,Animal,06/05/2022,Placeholder Info
56,Stoat,49.10627,12.20404,Animal,06/05/2022,Placeholder Info
57,Roe Deer,50.88215,16.95759,Animal,06/05/2022,Placeholder Info
58,Ortolan Bunting,50.54126,11.6277,Animal,06/05/2022,Placeholder Info
59,Badger,49.14054,16.11234,Animal,06/05/2022,Placeholder Info
60,Roe Deer,51.0494,13.98865,Animal,06/05/2022,Placeholder Info
61,Fallow Deer,48.56324,11.69665,Animal,06/05/2022,Placeholder Info
62,Stoat,50.95424,13.88327,Animal,06/05/2022,Placeholder Info
63,Badger,50.97408,12.80313,Animal,06/05/2022,Placeholder Info
64,Woodpecker,50.04824,16.10893,Animal,06/05/2022,Placeholder Info
65,Rabbit,47.74,8.606,Animal,06/05/2022,Placeholder Info
66,Wolf,48.1974,12.99052,Animal,06/05/2022,Placeholder Info
67,Rabbit,51.53086,10.31424,Animal,06/05/2022,Placeholder Info
68,Fire Ant,50.28366,16.38616,Animal,06/05/2022,Placeholder Info
69,Fallow Deer,49.47537,9.21829,Animal,06/05/2022,Placeholder Info
70,Roe Deer,49.62857,7.54112,Animal,06/05/2022,Placeholder Info
71,Roe Deer,51.40326,4.28534,Animal,06/05/2022,Placeholder Info
72,Hare,47.5787,15.20767,Animal,06/05/2022,Placeholder Info
73,Ortolan Bunting,48.91906,4.22025,Animal,06/05/2022,Placeholder Info
74,Badger,48.74132,12.77699,Animal,06/05/2022,Placeholder Info
75,Hare,48.63528,6.7129,Animal,06/05/2022,Placeholder Info
76,Fallow Deer,49.67421,14.67815,Animal,06/05/2022,Placeholder Info
77,Rabbit,47.25262,12.94774,Animal,06/05/2022,Placeholder Info
78,Rabbit,48.25994,6.41398,Animal,06/05/2022,Placeholder Info
79,Fire Ant,49.46628,13.30719,Animal,06/05/2022,Placeholder Info
80,Roe Deer,49.00942,4.5072,Animal,06/05/2022,Placeholder Info
81,Hare,47.54029,9.90987,Animal,06/05/2022,Placeholder Info
82,Ortolan Bunting,51.68068,11.20648,Animal,06/05/2022,Placeholder Info
83,Fire Ant,50.49882,13.69037,Animal,06/05/2022,Placeholder Info
84,Woodpecker,47.78408,14.26608,Animal,06/05/2022,Placeholder Info
85,Ortolan Bunting,48.08494,4.64024,Animal,06/05/2022,Placeholder Info
86,Rabbit,49.53188,16.48302,Animal,06/05/2022,Placeholder Info
87,Roe Deer,48.23963,6.49013,Animal,06/05/2022,Placeholder Info
88,Woodpecker,50.05894,16.33911,Animal,06/05/2022,Placeholder Info
89,Fire Salamander,50.40372,6.66679,Animal,06/05/2022,Placeholder Info
90,Wolf,47.39419,13.78449,Animal,06/05/2022,Placeholder Info
91,Wolf,47.2404,7.98104,Animal,06/05/2022,Placeholder Info
92,Badger,51.88292,5.34621,Animal,06/05/2022,Placeholder Info
93,Roe Deer,48.5435,4.10923,Animal,06/05/2022,Placeholder Info
94,Woodpecker,49.05321,16.58118,Animal,06/05/2022,Placeholder Info
95,Badger,47.44014,13.05302,Animal,06/05/2022,Placeholder Info
96,Ortolan Bunting,48.75954,6.22365,Animal,06/05/2022,Placeholder Info
97,Wolf,50.89189,17.98179,Animal,06/05/2022,Placeholder Info
98,Roe Deer,50.20802,6.30031,Animal,06/05/2022,Placeholder Info
99,Hare,51.47839,5.96008,Animal,06/05/2022,Placeholder Info
100,Fallow Deer,50.07223,12.9256,Animal,06/05/2022,Placeholder Info
101,Stoat,47.38237,4.05094,Animal,06/05/2022,Placeholder Info
102,Rabbit,47.42579,8.75996,Animal,06/05/2022,Placeholder Info
103,Badger,50.44212,17.73372,Animal,06/05/2022,Placeholder Info
104,Fire Salamander,50.72375,9.03503,Animal,06/05/2022,Placeholder Info
105,Rabbit,48.70441,15.011,Animal,06/05/2022,Placeholder Info
106,Hare,51.32874,13.48488,Animal,06/05/2022,Placeholder Info
107,Wolf,51.29796,6.31065,Animal,06/05/2022,Placeholder Info
108,Fire Salamander,50.55987,5.19366,Animal,06/05/2022,Placeholder Info
109,Wolf,48.78465,7.0225,Animal,06/05/2022,Placeholder Info
110,Woodpecker,50.33448,16.06816,Animal,06/05/2022,Placeholder Info
111,Rabbit,47.9129,14.92869,Animal,06/05/2022,Placeholder Info
112,Fallow Deer,51.5993,10.87978,Animal,06/05/2022,Placeholder Info
113,Fallow Deer,49.9886,5.50375,Animal,06/05/2022,Placeholder Info
114,European Viper,48.02858,4.95282,Animal,06/05/2022,Placeholder Info
115,European Viper,49.4341,13.42066,Animal,06/05/2022,Placeholder Info
116,Fallow Deer,50.83618,5.85222,Animal,06/05/2022,Placeholder Info
117,Ortolan Bunting,51.59011,4.49979,Animal,06/05/2022,Placeholder Info
118,Rabbit,48.74391,15.25959,Animal,06/05/2022,Placeholder Info
119,Wolf,49.27499,18.04384,Animal,06/05/2022,Placeholder Info
120,Ortolan Bunting,49.24267,12.78026,Animal,06/05/2022,Placeholder Info
121,Hare,47.56504,4.71854,Animal,06/05/2022,Placeholder Info
122,Wolf,48.54391,4.44178,Animal,06/05/2022,Placeholder Info
123,Hare,51.71435,13.17077,Animal,06/05/2022,Placeholder Info
124,Wolf,47.19854,12.98668,Animal,06/05/2022,Placeholder Info
125,Woodpecker,51.38908,12.08549,Animal,06/05/2022,Placeholder Info
126,Rabbit,49.18871,18.19655,Animal,06/05/2022,Placeholder Info
127,Fire Ant,49.10456,12.20636,Animal,06/05/2022,Placeholder Info
128,Ortolan Bunting,49.91905,10.71535,Animal,06/05/2022,Placeholder Info
129,Hare,48.65186,10.70979,Animal,06/05/2022,Placeholder Info
130,European Viper,48.732,15.24421,Animal,06/05/2022,Placeholder Info
131,Ortolan Bunting,48.58484,17.73661,Animal,06/05/2022,Placeholder Info
132,Wolf,50.76092,6.8378,Animal,06/05/2022,Placeholder Info
133,Stoat,50.45426,5.43853,Animal,06/05/2022,Placeholder Info
134,Woodpecker,48.02676,9.32811,Animal,06/05/2022,Placeholder Info
135,Roe Deer,49.77088,5.078,Animal,06/05/2022,Placeholder Info
136,Ortolan Bunting,48.77722,12.83759,Animal,06/05/2022,Placeholder Info
137,Fire Salamander,50.27019,17.74801,Animal,06/05/2022,Placeholder Info
138,Hare,50.88811,9.49747,Animal,06/05/2022,Placeholder Info
139,Stoat,48.60568,16.99887,Animal,06/05/2022,Placeholder Info
140,Woodpecker,48.14082,15.22053,Animal,06/05/2022,Placeholder Info
141,Fire Ant,50.75329,12.46852,Animal,06/05/2022,Placeholder Info
142,Rabbit,49.20489,4.79429,Animal,06/05/2022,Placeholder Info
143,Rabbit,49.5816,18.15545,Animal,06/05/2022,Placeholder Info
144,Fire Ant,47.1834,5.37386,Animal,06/05/2022,Placeholder Info
145,Ortolan Bunting,49.17836,8.94374,Animal,06/05/2022,Placeholder Info
146,Woodpecker,51.95766,11.08985,Animal,06/05/2022,Placeholder Info
147,Roe Deer,48.28671,10.83987,Animal,06/05/2022,Placeholder Info
148,European Viper,49.35898,6.19586,Animal,06/05/2022,Placeholder Info
149,Wolf,51.41805,10.29462,Animal,06/05/2022,Placeholder Info
150,Woodpecker,49.38912,4.12139,Animal,06/05/2022,Placeholder Info
151,Badger,48.3935,7.89202,Animal,06/05/2022,Placeholder Info
152,Woodpecker,48.90318,5.99941,Animal,06/05/2022,Placeholder Info
153,European Viper,49.69008,14.45595,Animal,06/05/2022,Placeholder Info
154,European Viper,48.89032,9.85859,Animal,06/05/2022,Placeholder Info
155,Ortolan Bunting,48.55809,9.07474,Animal,06/05/2022,Placeholder Info
156,European Viper,50.178,5.01736,Animal,06/05/2022,Placeholder Info
157,Ortolan Bunting,49.82482,12.92878,Animal,06/05/2022,Placeholder Info
158,Fire Salamander,50.88401,18.11748,Animal,06/05/2022,Placeholder Info
159,Fallow Deer,49.04886,14.35453,Animal,06/05/2022,Placeholder Info
160,Stoat,48.0243,5.12277,Animal,06/05/2022,Placeholder Info
161,Roe Deer,48.70674,17.81188,Animal,06/05/2022,Placeholder Info
162,Woodpecker,50.1774,10.73648,Animal,06/05/2022,Placeholder Info
163,Wolf,47.88514,5.7827,Animal,06/05/2022,Placeholder Info
164,Wolf,48.36802,15.78325,Animal,06/05/2022,Placeholder Info
165,Fire Salamander,51.01763,9.942,Animal,06/05/2022,Placeholder Info
166,Wolf,49.97429,16.26189,Animal,06/05/2022,Placeholder Info
167,Ortolan Bunting,48.47952,16.86687,Animal,06/05/2022,Placeholder Info
168,Hare,47.04798,12.71471,Animal,06/05/2022,Placeholder Info
169,Fallow Deer,51.67801,7.66982,Animal,06/05/2022,Placeholder Info
170,Roe Deer,50.09032,5.87803,Animal,06/05/2022,Placeholder Info
171,Woodpecker,50.80614,10.41337,Animal,06/05/2022,Placeholder Info
172,Woodpecker,49.06803,4.1513,Animal,06/05/2022,Placeholder Info
173,Fire Salamander,49.56378,9.27126,Animal,06/05/2022,Placeholder Info
174,Rabbit,51.73543,14.60293,Animal,06/05/2022,Placeholder Info
175,Ortolan Bunting,47.16227,13.42575,Animal,06/05/2022,Placeholder Info
176,Stoat,48.74297,9.31435,Animal,06/05/2022,Placeholder Info
177,Roe Deer,48.66303,5.82392,Animal,06/05/2022,Placeholder Info
178,Hare,47.96918,5.04158,Animal,06/05/2022,Placeholder Info
179,Woodpecker,48.12637,16.64777,Animal,06/05/2022,Placeholder Info
180,Stoat,48.58398,12.79202,Animal,06/05/2022,Placeholder Info
181,Badger,47.20326,13.44666,Animal,06/05/2022,Placeholder Info
182,Wolf,47.27252,11.19164,Animal,06/05/2022,Placeholder Info
183,Fire Salamander,49.38521,8.90343,Animal,06/05/2022,Placeholder Info
184,European Viper,47.01621,7.27034,Animal,06/05/2022,Placeholder Info
185,European Viper,48.0748,4.6724,Animal,06/05/2022,Placeholder Info
186,Ortolan Bunting,49.14465,15.11624,Animal,06/05/2022,Placeholder Info
187,Stoat,47.57084,13.1059,Animal,06/05/2022,Placeholder Info
188,Stoat,47.99701,9.53646,Animal,06/05/2022,Placeholder Info
189,Wolf,51.72625,9.93261,Animal,06/05/2022,Placeholder Info
190,Rabbit,48.02065,17.79076,Animal,06/05/2022,Placeholder Info
191,Roe Deer,50.54346,4.66458,Animal,06/05/2022,Placeholder Info
192,Woodpecker,51.68171,6.15667,Animal,06/05/2022,Placeholder Info
193,European Viper,48.75618,5.50928,Animal,06/05/2022,Placeholder Info
194,Rabbit,51.9898,14.44475,Animal,06/05/2022,Placeholder Info
195,Hare,50.6424,4.09412,Animal,06/05/2022,Placeholder Info
196,Rabbit,47.10321,12.15793,Animal,06/05/2022,Placeholder Info
197,Stoat,47.53347,10.21686,Animal,06/05/2022,Placeholder Info
198,European Viper,47.44219,10.10316,Animal,06/05/2022,Placeholder Info
199,Woodpecker,51.80269,17.24916,Animal,06/05/2022,Placeholder Info
200,Stoat,51.76106,9.87585,Animal,06/05/2022,Placeholder Info
201,Hare,49.27479,11.87329,Animal,06/05/2022,Placeholder Info
202,Stoat,48.47651,12.87018,Animal,06/05/2022,Placeholder Info
203,European Viper,51.57978,17.8422,Animal,06/05/2022,Placeholder Info
204,Woodpecker,50.31348,15.64991,Animal,06/05/2022,Placeholder Info
205,Fire Salamander,49.72911,15.64432,Animal,06/05/2022,Placeholder Info
206,Ortolan Bunting,48.15678,14.66047,Animal,06/05/2022,Placeholder Info
207,Woodpecker,48.77739,8.70545,Animal,06/05/2022,Placeholder Info
208,Ortolan Bunting,51.73738,7.72132,Animal,06/05/2022,Placeholder Info
209,Rabbit,51.27834,8.40507,Animal,06/05/2022,Placeholder Info
210,Fallow Deer,50.63428,15.25306,Animal,06/05/2022,Placeholder Info
211,Wolf,47.11235,11.17913,Animal,06/05/2022,Placeholder Info
212,European Viper,49.97198,9.64467,Animal,06/05/2022,Placeholder Info
213,Fire Salamander,48.20186,14.45,Animal,06/05/2022,Placeholder Info
214,Badger,50.11148,5.55917,Animal,06/05/2022,Placeholder Info
215,European Viper,47.9459,6.21851,Animal,06/05/2022,Placeholder Info
216,European Viper,49.82,17.34078,Animal,06/05/2022,Placeholder Info
217,Badger,48.54373,10.1215,Animal,06/05/2022,Placeholder Info
218,Fire Ant,51.58925,13.21186,Animal,06/05/2022,Placeholder Info
219,Roe Deer,51.08051,13.52374,Animal,06/05/2022,Placeholder Info
220,Ortolan Bunting,48.68762,17.48018,Animal,06/05/2022,Placeholder Info
221,Woodpecker,49.84649,4.55231,Animal,06/05/2022,Placeholder Info
222,Hare,51.86123,6.24959,Animal,06/05/2022,Placeholder Info
223,Rabbit,47.98268,12.00495,Animal,06/05/2022,Placeholder Info
224,Badger,48.66056,13.73694,Animal,06/05/2022,Placeholder Info
225,Roe Deer,50.27272,9.47545,Animal,06/05/2022,Placeholder Info
226,Woodpecker,49.10589,9.1121,Animal,06/05/2022,Placeholder Info
227,Stoat,48.05988,16.33219,Animal,06/05/2022,Placeholder Info
228,Fire Salamander,49.38893,9.14584,Animal,06/05/2022,Placeholder Info
229,Fire Salamander,50.63505,11.55816,Animal,06/05/2022,Placeholder Info
230,Fire Salamander,49.34315,5.17926,Animal,06/05/2022,Placeholder Info
231,Rabbit,48.21343,7.80796,Animal,06/05/2022,Placeholder Info
232,Badger,50.50225,17.42978,Animal,06/05/2022,Placeholder Info
233,Wolf,50.72289,15.19964,Animal,06/05/2022,Placeholder Info
234,Badger,51.23842,11.78372,Animal,06/05/2022,Placeholder Info
235,Ortolan Bunting,48.14788,5.2923,Animal,06/05/2022,Placeholder Info
236,Fire Salamander,50.42106,16.71726,Animal,06/05/2022,Placeholder Info
237,Fire Ant,47.23765,14.13417,Animal,06/05/2022,Placeholder Info
238,Rabbit,50.07519,9.56029,Animal,06/05/2022,Placeholder Info
239,Fire Salamander,49.1663,4.68645,Animal,06/05/2022,Placeholder Info
240,Fallow Deer,49.87345,15.14596,Animal,06/05/2022,Placeholder Info
241,Fire Salamander,50.19835,13.03317,Animal,06/05/2022,Placeholder Info
242,European Viper,51.58866,7.13968,Animal,06/05/2022,Placeholder Info
243,European Viper,47.67469,15.66736,Animal,06/05/2022,Placeholder Info
244,Wolf,50.77058,16.92444,Animal,06/05/2022,Placeholder Info
245,Fallow Deer,48.00416,8.55494,Animal,06/05/2022,Placeholder Info
246,Roe Deer,49.89304,13.15129,Animal,06/05/2022,Placeholder Info
247,Fallow Deer,49.47271,12.57202,Animal,06/05/2022,Placeholder Info
248,Rabbit,51.45158,16.72041,Animal,06/05/2022,Placeholder Info
249,Fire Ant,51.24921,13.95413,Animal,06/05/2022,Placeholder Info
250,Wolf,48.51209,8.69931,Animal,06/05/2022,Placeholder Info
251,Roe Deer,50.64684,9.79147,Animal,06/05/2022,Placeholder Info
252,Fallow Deer,49.00497,6.54542,Animal,06/05/2022,Placeholder Info
253,Rabbit,51.85616,11.8755,Animal,06/05/2022,Placeholder Info
254,Rabbit,48.83073,16.64445,Animal,06/05/2022,Placeholder Info
255,Rabbit,51.55814,5.12002,Animal,06/05/2022,Placeholder Info
256,Roe Deer,50.45738,12.28135,Animal,06/05/2022,Placeholder Info
257,Fire Ant,47.29258,4.10664,Animal,06/05/2022,Placeholder Info
258,Hare,47.11553,16.46571,Animal,06/05/2022,Placeholder Info
259,Hare,49.98771,9.93537,Animal,06/05/2022,Placeholder Info
260,Badger,49.15965,17.84426,Animal,06/05/2022,Placeholder Info
261,Fire Salamander,51.6139,4.70472,Animal,06/05/2022,Placeholder Info
262,Hare,49.74704,5.55378,Animal,06/05/2022,Placeholder Info
263,European Viper,51.44226,16.98986,Animal,06/05/2022,Placeholder Info
264,Hare,47.52517,7.23761,Animal,06/05/2022,Placeholder Info
265,Woodpecker,50.13464,15.61253,Animal,06/05/2022,Placeholder Info
266,Fire Salamander,49.13109,12.24386,Animal,06/05/2022,Placeholder Info
267,Woodpecker,49.18381,16.29564,Animal,06/05/2022,Placeholder Info
268,Ortolan Bunting,49.65988,14.51562,Animal,06/05/2022,Placeholder Info
269,Rabbit,48.3209,7.76547,Animal,06/05/2022,Placeholder Info
270,Woodpecker,51.45532,14.91446,Animal,06/05/2022,Placeholder Info
271,Wolf,48.97182,5.45837,Animal,06/05/2022,Placeholder Info
272,Stoat,51.22858,11.12194,Animal,06/05/2022,Placeholder Info
273,European Viper,48.56498,14.82868,Animal,06/05/2022,Placeholder Info
274,European Viper,47.48661,5.63498,Animal,06/05/2022,Placeholder Info
275,Badger,51.3323,5.75024,Animal,06/05/2022,Placeholder Info
276,Stoat,50.16004,16.1105,Animal,06/05/2022,Placeholder Info
277,Fire Salamander,51.93502,11.97472,Animal,06/05/2022,Placeholder Info
278,Fire Salamander,50.70555,13.20723,Animal,06/05/2022,Placeholder Info
279,Hare,49.93674,8.43151,Animal,06/05/2022,Placeholder Info
280,Rabbit,51.04516,12.36018,Animal,06/05/2022,Placeholder Info
281,Badger,48.20627,13.07695,Animal,06/05/2022,Placeholder Info
282,Badger,48.5383,6.69691,Animal,06/05/2022,Placeholder Info
283,Badger,49.57786,6.39027,Animal,06/05/2022,Placeholder Info
284,European Viper,48.0216,13.03569,Animal,06/05/2022,Placeholder Info
285,Fire Salamander,49.43869,4.85996,Animal,06/05/2022,Placeholder Info
286,Wolf,51.24495,10.70867,Animal,06/05/2022,Placeholder Info
287,Wolf,51.07981,5.99198,Animal,06/05/2022,Placeholder Info
288,Wolf,49.31978,15.37314,Animal,06/05/2022,Placeholder Info
289,Wolf,47.35912,7.79541,Animal,06/05/2022,Placeholder Info
290,Fire Salamander,49.02338,16.83671,Animal,06/05/2022,Placeholder Info
291,Ortolan Bunting,51.23831,6.13371,Animal,06/05/2022,Placeholder Info
292,European Viper,51.71042,13.64954,Animal,06/05/2022,Placeholder Info
293,Badger,47.0247,14.27701,Animal,06/05/2022,Placeholder Info
294,Roe Deer,48.25215,15.61089,Animal,06/05/2022,Placeholder Info
295,European Viper,47.40265,8.69646,Animal,06/05/2022,Placeholder Info
296,Rabbit,48.08274,17.91936,Animal,06/05/2022,Placeholder Info
297,Roe Deer,47.76901,5.96082,Animal,06/05/2022,Placeholder Info
298,Badger,49.86728,13.01251,Animal,06/05/2022,Placeholder Info
299,Stoat,48.74921,13.9502,Animal,06/05/2022,Placeholder Info
300,Woodpecker,50.80796,5.28361,Animal,06/05/2022,Placeholder Info
301,Hare,51.68719,13.69102,Animal,06/05/2022,Placeholder Info
302,Wolf,49.34199,10.77269,Animal,06/05/2022,Placeholder Info
303,Hare,51.07231,15.82234,Animal,06/05/2022,Placeholder Info
304,Ortolan Bunting,48.30278,11.91752,Animal,06/05/2022,Placeholder Info
305,Stoat,47.4538,12.07282,Animal,06/05/2022,Placeholder Info
306,Wolf,50.24876,5.56624,Animal,06/05/2022,Placeholder Info
307,Fire Salamander,49.68981,17.69376,Animal,06/05/2022,Placeholder Info
308,Fire Ant,49.72128,6.23437,Animal,06/05/2022,Placeholder Info
309,Hare,51.88867,9.306,Animal,06/05/2022,Placeholder Info
310,Woodpecker,49.28888,11.15359,Animal,06/05/2022,Placeholder Info
311,Woodpecker,49.59248,18.08207,Animal,06/05/2022,Placeholder Info
312,Badger,50.08551,15.03081,Animal,06/05/2022,Placeholder Info
313,Wolf,51.73599,12.11295,Animal,06/05/2022,Placeholder Info
314,Fire Ant,49.57781,11.01004,Animal,06/05/2022,Placeholder Info
315,Roe Deer,49.54471,8.53935,Animal,06/05/2022,Placeholder Info
316,Fire Ant,48.96997,4.49308,Animal,06/05/2022,Placeholder Info
317,Fire Salamander,51.93536,11.01918,Animal,06/05/2022,Placeholder Info
318,Roe Deer,49.91987,13.35584,Animal,06/05/2022,Placeholder Info
319,Roe Deer,49.31648,7.6097,Animal,06/05/2022,Placeholder Info
320,Rabbit,51.03544,17.39801,Animal,06/05/2022,Placeholder Info
321,Stoat,47.50413,12.89327,Animal,06/05/2022,Placeholder Info
322,Fallow Deer,51.29015,12.72836,Animal,06/05/2022,Placeholder Info
323,Fallow Deer,48.57481,6.93953,Animal,06/05/2022,Placeholder Info
324,Fire Ant,49.95679,4.22894,Animal,06/05/2022,Placeholder Info
325,Roe Deer,48.10733,14.62923,Animal,06/05/2022,Placeholder Info
326,Wolf,49.11688,7.58077,Animal,06/05/2022,Placeholder Info
327,European Viper,51.80351,4.31063,Animal,06/05/2022,Placeholder Info
328,Fire Ant,50.06702,10.37565,Animal,06/05/2022,Placeholder Info
329,Ortolan Bunting,50.77162,4.47028,Animal,06/05/2022,Placeholder Info
330,European Viper,47.13167,12.80773,Animal,06/05/2022,Placeholder Info
331,European Viper,47.61268,18.05516,Animal,06/05/2022,Placeholder Info
332,Rabbit,48.01106,12.32551,Animal,06/05/2022,Placeholder Info
333,Woodpecker,48.84915,11.88662,Animal,06/05/2022,Placeholder Info
334,Rabbit,48.31322,9.61095,Animal,06/05/2022,Placeholder Info
335,Wolf,49.93518,9.28628,Animal,06/05/2022,Placeholder Info
336,Fallow Deer,50.62105,16.17342,Animal,06/05/2022,Placeholder Info
337,Roe Deer,47.58736,9.15127,Animal,06/05/2022,Placeholder Info
338,Fallow Deer,47.90608,10.94742,Animal,06/05/2022,Placeholder Info
339,Hare,50.78338,10.26036,Animal,06/05/2022,Placeholder Info
340,Roe Deer,49.03611,10.8074,Animal,06/05/2022,Placeholder Info
341,Stoat,50.03218,6.75987,Animal,06/05/2022,Placeholder Info
342,Wolf,51.48685,7.29924,Animal,06/05/2022,Placeholder Info
343,Fire Salamander,51.77062,16.63287,Animal,06/05/2022,Placeholder Info
344,Fire Ant,48.95463,15.10816,Animal,06/05/2022,Placeholder Info
345,Stoat,51.17216,12.06358,Animal,06/05/2022,Placeholder Info
346,Roe Deer,51.60206,11.86126,Animal,06/05/2022,Placeholder Info
347,Fire Salamander,47.06493,5.32318,Animal,06/05/2022,Placeholder Info
348,Woodpecker,47.03201,16.07617,Animal,06/05/2022,Placeholder Info
349,Stoat,51.36806,8.31332,Animal,06/05/2022,Placeholder Info
350,Fallow Deer,51.91766,8.86657,Animal,06/05/2022,Placeholder Info
351,Roe Deer,51.80304,15.51184,Animal,06/05/2022,Placeholder Info
352,Fire Ant,49.57339,10.56637,Animal,06/05/2022,Placeholder Info
353,Ortolan Bunting,51.30561,15.57495,Animal,06/05/2022,Placeholder Info
